Date : 2024-05-03 09:59:57
Directory : /home/luis/DESARROLLO/panellaravel/resources
Total : 125 files,  10103 codes, 227 comments, 3412 blanks, all 13742 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/luis/DESARROLLO/panellaravel/resources/views/dropdown.blade.php                                   | PHP        |        112 |          9 |         26 |        147 |
| /home/luis/DESARROLLO/panellaravel/resources/views/editAccount.blade.php                                | PHP        |         99 |          0 |         43 |        142 |
| /home/luis/DESARROLLO/panellaravel/resources/views/editBuilding.blade.php                               | PHP        |         80 |          0 |         36 |        116 |
| /home/luis/DESARROLLO/panellaravel/resources/views/editExpense.blade.php                                | PHP        |        383 |         13 |        116 |        512 |
| /home/luis/DESARROLLO/panellaravel/resources/views/editInvoice.blade.php                                | PHP        |        166 |          0 |         68 |        234 |
| /home/luis/DESARROLLO/panellaravel/resources/views/editLandlord.blade.php                               | PHP        |         67 |          0 |         36 |        103 |
| /home/luis/DESARROLLO/panellaravel/resources/views/editLease.blade.php                                  | PHP        |        146 |          0 |         43 |        189 |
| /home/luis/DESARROLLO/panellaravel/resources/views/editPayment.blade.php                                | PHP        |        305 |         13 |        126 |        444 |
| /home/luis/DESARROLLO/panellaravel/resources/views/editProperty.blade.php                               | PHP        |        107 |          0 |         37 |        144 |
| /home/luis/DESARROLLO/panellaravel/resources/views/editSubproperty.blade.php                            | PHP        |        111 |          0 |         41 |        152 |
| /home/luis/DESARROLLO/panellaravel/resources/views/editSupplier.blade.php                               | PHP        |         62 |          0 |         30 |         92 |
| /home/luis/DESARROLLO/panellaravel/resources/views/editTenant.blade.php                                 | PHP        |        151 |          0 |         56 |        207 |
| /home/luis/DESARROLLO/panellaravel/resources/views/emails/team-invitation.blade.php                     | PHP        |         16 |          0 |          8 |         24 |
| /home/luis/DESARROLLO/panellaravel/resources/views/invoicepdf.blade.php                                 | PHP        |        194 |          3 |         39 |        236 |
| /home/luis/DESARROLLO/panellaravel/resources/views/layouts/app.blade.php                                | PHP        |         36 |          0 |         13 |         49 |
| /home/luis/DESARROLLO/panellaravel/resources/views/layouts/guest.blade.php                              | PHP        |         22 |          0 |          6 |         28 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listAccounts.blade.php                               | PHP        |         56 |          0 |         32 |         88 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listBuildings.blade.php                              | PHP        |         75 |          0 |         46 |        121 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listCommodities.blade.php                            | PHP        |         45 |          0 |         31 |         76 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listExpenses.blade.php                               | PHP        |        107 |          0 |         65 |        172 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listInvoices.blade.php                               | PHP        |        120 |          0 |         46 |        166 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listLandlords.blade.php                              | PHP        |         62 |          0 |         28 |         90 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listLeases.blade.php                                 | PHP        |        101 |          0 |         45 |        146 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listPayments.blade.php                               | PHP        |        102 |          0 |         52 |        154 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listSubproperties.blade.php                          | PHP        |        101 |          0 |         32 |        133 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listSuppliers.blade.php                              | PHP        |         51 |          0 |         26 |         77 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listTenants.blade.php                                | PHP        |         60 |          0 |         26 |         86 |
| /home/luis/DESARROLLO/panellaravel/resources/views/listproperties.blade.php                             | PHP        |        104 |          2 |         33 |        139 |
| /home/luis/DESARROLLO/panellaravel/resources/views/navigation-menu.blade.php                            | PHP        |        187 |          0 |         33 |        220 |
| /home/luis/DESARROLLO/panellaravel/resources/views/paymentpdf.blade.php                                 | PHP        |        157 |          1 |         38 |        196 |
| /home/luis/DESARROLLO/panellaravel/resources/views/policy.blade.php                                     | PHP        |         12 |          0 |          2 |         14 |
| /home/luis/DESARROLLO/panellaravel/resources/views/postproperty.blade.php                               | PHP        |         20 |          0 |          8 |         28 |
| /home/luis/DESARROLLO/panellaravel/resources/views/profile/delete-user-form.blade.php                   | PHP        |         44 |          0 |         10 |         54 |
| /home/luis/DESARROLLO/panellaravel/resources/views/profile/logout-other-browser-sessions-form.blade.php | PHP        |         84 |          0 |         15 |         99 |
| /home/luis/DESARROLLO/panellaravel/resources/views/profile/show.blade.php                               | PHP        |         36 |          0 |         10 |         46 |
| /home/luis/DESARROLLO/panellaravel/resources/views/profile/two-factor-authentication-form.blade.php     | PHP        |        110 |          0 |         15 |        125 |
| /home/luis/DESARROLLO/panellaravel/resources/views/profile/update-password-form.blade.php               | PHP        |         39 |          0 |         11 |         50 |
| /home/luis/DESARROLLO/panellaravel/resources/views/profile/update-profile-information-form.blade.php    | PHP        |         86 |          0 |         17 |        103 |
| /home/luis/DESARROLLO/panellaravel/resources/views/renewLease.blade.php                                 | PHP        |        202 |          5 |         61 |        268 |
| /home/luis/DESARROLLO/panellaravel/resources/views/searchBudgetMovements.blade.php                      | PHP        |         37 |          1 |         17 |         55 |
| /home/luis/DESARROLLO/panellaravel/resources/views/searchMovements.blade.php                            | PHP        |         37 |          1 |         17 |         55 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showAccount.blade.php                                | PHP        |        102 |          0 |         54 |        156 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showAccountMovements.blade.php                       | PHP        |        193 |          0 |         60 |        253 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showBuilding.blade.php                               | PHP        |         84 |          0 |         42 |        126 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showBuildingMaintenanceExpenses.blade.php            | PHP        |        138 |          0 |         44 |        182 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showBuildingProperties.blade.php                     | PHP        |         95 |          0 |         26 |        121 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showExpense.blade.php                                | PHP        |        198 |          0 |         61 |        259 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showInvoice.blade.php                                | PHP        |        406 |          3 |        101 |        510 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showLandlord.blade.php                               | PHP        |         77 |          0 |         35 |        112 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showLandlordItems.blade.php                          | PHP        |        177 |          0 |         38 |        215 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showLease.blade.php                                  | PHP        |        296 |          2 |         89 |        387 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showLeaseMovements.blade.php                         | PHP        |        222 |          0 |         32 |        254 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showPayment.blade.php                                | PHP        |        215 |          0 |         47 |        262 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showProfile.blade.php                                | PHP        |         50 |          0 |         19 |         69 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showProperty.blade.php                               | PHP        |        167 |          0 |         45 |        212 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showPropertySubproperties.blade.php                  | PHP        |         84 |          0 |         28 |        112 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showSubproperty.blade.php                            | PHP        |        147 |          0 |         42 |        189 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showSupplier.blade.php                               | PHP        |         81 |          0 |         40 |        121 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showSupplierPayments.blade.php                       | PHP        |        117 |          1 |         58 |        176 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showTenant.blade.php                                 | PHP        |        149 |          0 |         34 |        183 |
| /home/luis/DESARROLLO/panellaravel/resources/views/showpanel.blade.php                                  | PHP        |         17 |          0 |          6 |         23 |
| /home/luis/DESARROLLO/panellaravel/resources/views/terms.blade.php                                      | PHP        |         12 |          0 |          2 |         14 |
| /home/luis/DESARROLLO/panellaravel/resources/views/welcome.blade.php                                    | PHP        |        111 |          0 |         23 |        134 |
| Total                                                                                                   |            |     10,103 |        227 |      3,412 |     13,742 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
